seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
T4_D_k141_54216||full	0.993	0.007	0.993	dsDNAphage	42926	1	20.400	2.000
T52_D__k141_666533||full	1.000	0.200	1.000	dsDNAphage	42827	8	74.400	0.000
T16_D__k141_240149||full	1.000	0.033	1.000	dsDNAphage	42003	4	46.300	1.900
T100_D__k141_959488||full	1.000	0.373	1.000	dsDNAphage	39919	7	95.000	0.000
T40_D__k141_1213770||full	0.993	0.040	0.993	dsDNAphage	39567	2	42.900	1.800
T16_D__k141_283572||full	1.000	0.007	1.000	dsDNAphage	39486	2	34.700	2.000
T40_D__k141_1213773||full	1.000	0.013	1.000	dsDNAphage	39302	3	42.600	1.900
T4_D_k141_507757||full	1.000	0.467	1.000	dsDNAphage	38883	6	80.000	0.000
T32_S__k141_250329||full	1.000	0.173	1.000	dsDNAphage	38616	7	86.400	0.000
T40_D__k141_952016||full	0.980	0.000	0.980	dsDNAphage	38542	2	28.300	8.700
T28_S__k141_1286155||full	1.000	0.233	1.000	dsDNAphage	37966	7	78.700	0.000
T64_D__k141_225942||full	0.993	0.027	0.993	dsDNAphage	37606	5	60.000	1.800
T40_D__k141_75727||full	1.000	0.113	1.000	dsDNAphage	37594	9	86.400	0.000
T4_D_k141_720750||full	1.000	0.033	1.000	dsDNAphage	37101	3	36.700	3.300
T76_D__k141_780076||full	1.000	0.013	1.000	dsDNAphage	37077	2	46.500	2.300
T52_D__k141_910402||full	1.000	0.133	1.000	dsDNAphage	36837	2	57.100	0.000
T4_D_k141_879453||full	0.993	0.120	0.993	dsDNAphage	36196	10	90.900	0.000
T16_D__k141_919373||full	1.000	0.273	1.000	dsDNAphage	36066	2	64.900	0.000
T4_D_k141_377516||full	0.993	0.180	0.993	dsDNAphage	35730	4	72.100	0.000
T52_D__k141_854381||full	1.000	0.167	1.000	dsDNAphage	35446	4	78.400	3.900
T16_D__k141_731656||full	1.000	0.193	1.000	dsDNAphage	35287	5	78.400	0.000
T88_D__k141_500691||full	1.000	0.193	1.000	dsDNAphage	35266	11	91.100	0.000
T112_S__k141_39324||full	1.000	0.147	1.000	dsDNAphage	34647	6	87.800	0.000
T40_D__k141_1142549||full	1.000	0.127	1.000	dsDNAphage	34262	2	37.200	0.000
T40_D__k141_762407||full	1.000	0.293	1.000	dsDNAphage	34097	4	94.900	0.000
T72_S__k141_146273||full	1.000	0.487	1.000	dsDNAphage	33786	3	51.700	0.000
T12_S__k141_469238||full	1.000	0.293	1.000	dsDNAphage	33442	6	98.000	0.000
T16_D__k141_1470753||full	1.000	0.473	1.000	dsDNAphage	33185	4	87.800	0.000
T4_D_k141_924020||full	1.000	0.307	1.000	dsDNAphage	33117	5	50.000	0.000
T44_S__k141_938885||full	1.000	0.360	1.000	dsDNAphage	32990	4	84.000	0.000
T64_D__k141_234031||full	1.000	0.327	1.000	dsDNAphage	32970	9	87.500	0.000
T4_D_k141_715270||full	1.000	0.240	1.000	dsDNAphage	32800	4	65.400	0.000
T76_S__k141_281008||full	1.000	0.407	1.000	dsDNAphage	32256	5	84.500	0.000
T16_D__k141_1023260||full	0.993	0.047	0.993	dsDNAphage	32204	4	45.200	0.000
T16_D__k141_76086||full	1.000	0.387	1.000	dsDNAphage	32250	3	77.100	0.000
T40_D__k141_320238||full	1.000	0.140	1.000	dsDNAphage	32026	2	58.300	2.800
T28_S__k141_1025974||full	1.000	0.220	1.000	dsDNAphage	31962	5	77.800	0.000
T16_D__k141_781256||full	1.000	0.093	1.000	dsDNAphage	31875	4	54.500	0.000
T84_S__k141_831866||full	1.000	0.093	1.000	dsDNAphage	31466	4	38.900	3.700
T100_D__k141_594657||full	1.000	0.260	1.000	dsDNAphage	31342	4	73.300	0.000
T32_S__k141_1075293||full	1.000	0.547	1.000	dsDNAphage	31319	6	75.500	0.000
T16_D__k141_1476691||full	1.000	0.447	1.000	dsDNAphage	31168	5	72.900	0.000
T52_D__k141_715557||full	0.993	0.080	0.993	dsDNAphage	31035	1	67.300	1.900
T16_D__k141_1021923||full	1.000	0.227	1.000	dsDNAphage	30878	3	63.800	0.000
T100_D__k141_718249||full	1.000	0.440	1.000	dsDNAphage	30691	4	93.600	0.000
T40_D__k141_864534||full	0.993	0.433	0.993	dsDNAphage	30671	2	60.000	0.000
T60_S__k141_613056||full	1.000	0.060	1.000	dsDNAphage	30572	5	65.500	0.000
T84_S__k141_1063687||full	0.993	0.313	0.993	dsDNAphage	30514	8	100.000	0.000
T4_D_k141_1010490||full	1.000	0.407	1.000	dsDNAphage	30023	4	95.700	0.000
T16_D__k141_97755||full	1.000	0.453	1.000	dsDNAphage	29889	3	97.700	0.000
T0_S__k141_570178||full	1.000	0.480	1.000	dsDNAphage	29804	3	91.200	0.000
T100_D__k141_142704||full	1.000	0.367	1.000	dsDNAphage	29628	4	95.300	0.000
T100_D__k141_370303||full	1.000	0.580	1.000	dsDNAphage	29246	4	97.700	0.000
T104_S__k141_787231||full	0.993	0.060	0.993	dsDNAphage	28172	4	65.500	0.000
T4_D_k141_616295||full	1.000	0.260	1.000	dsDNAphage	27845	5	67.400	0.000
T40_D__k141_192789||full	1.000	0.353	1.000	dsDNAphage	27641	2	60.900	0.000
T100_D__k141_209010||full	1.000	0.540	1.000	dsDNAphage	27660	3	82.600	0.000
T84_S__k141_1313741||full	0.767	0.100	0.767	dsDNAphage	26706	0	28.600	0.000
T48_S__k141_1083958||full	0.933	0.007	0.933	dsDNAphage	26203	1	27.800	19.400
T16_S__k141_269515||full	0.487	0.667	0.667	ssDNA	25730	0	33.300	0.000
T16_D__k141_754903||full	0.967	0.427	0.967	dsDNAphage	23211	1	30.800	0.000
T8_S__k141_384303||full	0.933	0.740	0.933	dsDNAphage	20675	0	37.000	0.000
T52_D__k141_78574||full	0.920	0.547	0.920	dsDNAphage	18015	0	21.400	0.000
T80_S__k141_691010||full	0.967	0.533	0.967	dsDNAphage	17693	0	39.100	0.000
T16_S__k141_147170||full	0.687	0.200	0.687	dsDNAphage	17684	0	23.100	0.000
T4_D_k141_463485||full	0.767	0.047	0.767	dsDNAphage	17075	0	21.400	3.600
T40_S__k141_748020||full	0.747	0.093	0.747	dsDNAphage	13088	0	23.500	0.000
T4_D_k141_1365702||full	1.000	0.447	1.000	dsDNAphage	10515	1	44.400	0.000
T112_D__k141_62420||full	0.527	0.147	0.527	dsDNAphage	9922	0	17.600	0.000
T4_D_k141_1365745||full	1.000	0.947	1.000	dsDNAphage	9757	1	50.000	0.000
T40_D__k141_299475||full	0.940	0.433	0.940	dsDNAphage	9676	0	28.600	0.000
T16_D__k141_1476746||full	0.733	0.093	0.733	dsDNAphage	9614	0	23.100	7.700
T16_D__k141_1023046||full	0.620	0.007	0.620	dsDNAphage	9596	0	7.100	0.000
T40_D__k141_1213780||full	0.900	0.473	0.900	dsDNAphage	9554	0	15.000	0.000
T84_S__k141_705235||full	0.660	0.507	0.660	dsDNAphage	9260	0	21.400	0.000
T16_D__k141_1476679||full	0.873	0.947	0.947	ssDNA	9206	0	20.000	0.000
T16_D__k141_1476685||full	1.000	0.860	1.000	dsDNAphage	9184	1	18.800	0.000
T40_D__k141_15499||full	0.787	0.087	0.787	dsDNAphage	9268	0	11.100	0.000
T36_S__k141_88065||full	0.847	0.460	0.847	dsDNAphage	9196	0	41.700	0.000
T112_D__k141_65503||full	0.833	0.560	0.833	dsDNAphage	8932	0	21.400	0.000
T48_S__k141_747045||full	0.647	0.547	0.647	dsDNAphage	8924	0	25.000	0.000
T4_S__k141_521452||full	0.873	0.447	0.873	dsDNAphage	8890	0	38.500	0.000
T104_S__k141_51894||full	0.827	0.473	0.827	dsDNAphage	8830	0	27.300	0.000
T16_D__k141_398548||full	0.913	0.733	0.913	dsDNAphage	8765	0	45.500	0.000
T112_D__k141_615690||full	0.680	0.353	0.680	dsDNAphage	8673	0	18.800	0.000
T16_D__k141_1476697||full	0.920	0.793	0.920	dsDNAphage	8574	0	27.300	0.000
T76_S__k141_1105499||full	0.667	0.047	0.667	dsDNAphage	8353	0	23.100	7.700
T40_D__k141_500442||full	0.547	0.653	0.653	ssDNA	8051	0	44.400	0.000
T4_D_k141_1365764||full	0.693	0.553	0.693	dsDNAphage	8008	0	27.300	0.000
T4_D_k141_966065||full	0.947	0.433	0.947	dsDNAphage	7974	1	33.300	0.000
T112_S__k141_730379||full	0.667	0.600	0.667	dsDNAphage	7516	0	37.500	0.000
T4_D_k141_1365777||full	0.780	0.620	0.780	dsDNAphage	7443	0	5.300	0.000
T24_S__k141_6801||full	0.760	0.927	0.927	ssDNA	7406	0	25.000	0.000
T60_S__k141_768749||full	0.800	0.900	0.900	ssDNA	7411	0	25.000	0.000
T16_D__k141_1476699||full	0.847	0.227	0.847	dsDNAphage	7267	0	11.800	0.000
T12_S__k141_368477||full	0.647	0.473	0.647	dsDNAphage	7259	0	33.300	0.000
T40_D__k141_698968||full	0.647	0.247	0.647	dsDNAphage	7038	0	13.300	0.000
T76_D__k141_1079715||full	0.553	0.047	0.553	dsDNAphage	7019	0	27.300	9.100
T52_D__k141_646011||full	0.740	0.520	0.740	dsDNAphage	6905	0	50.000	0.000
T4_D_k141_1365735||full	0.740	0.073	0.740	dsDNAphage	6632	0	9.100	0.000
T80_S__k141_1055794||full	1.000	0.893	1.000	dsDNAphage	6072	3	100.000	0.000
T16_D__k141_706857||full	0.347	0.600	0.600	ssDNA	5934	0	22.200	0.000
T76_D__k141_1079771||full	0.847	0.693	0.847	dsDNAphage	5876	0	22.200	0.000
T88_S_k141_1251495||full	0.533	0.293	0.533	dsDNAphage	5857	0	14.300	0.000
T52_S_k141_1284154||full	0.787	0.480	0.787	dsDNAphage	5823	0	50.000	0.000
T112_D__k141_200862||full	1.000	0.980	1.000	dsDNAphage	5815	2	50.000	0.000
T24_S__k141_146411||full	0.507	0.027	0.507	dsDNAphage	5666	0	18.200	9.100
T16_D__k141_1476683||full	0.700	0.200	0.700	dsDNAphage	5647	0	12.500	0.000
T64_D__k141_19435||full	0.967	0.713	0.967	dsDNAphage	5548	2	44.400	0.000
T100_D__k141_846555||full	1.000	0.967	1.000	dsDNAphage	5482	2	80.000	0.000
T88_S_k141_1251428||full	0.773	0.600	0.773	dsDNAphage	5416	0	30.000	0.000
T4_D_k141_751341||full	0.627	0.727	0.727	ssDNA	5325	0	33.300	0.000
T88_D__k141_1134729||full	1.000	0.820	1.000	dsDNAphage	5311	2	57.100	0.000
T4_D_k141_1365766||full	0.660	0.673	0.673	ssDNA	5280	0	28.600	0.000
T4_D_k141_1365707||full	0.840	0.160	0.840	dsDNAphage	5118	0	8.300	0.000
T4_D_k141_1051790||full	0.587	0.260	0.587	dsDNAphage	4977	0	10.000	0.000
T4_D_k141_1365822||full	0.560	0.487	0.560	dsDNAphage	4910	0	28.600	0.000
T16_D__k141_923160||full	0.940	0.840	0.940	dsDNAphage	4940	0	8.300	0.000
T52_S_k141_5847||full_1	0.987	0.127	0.987	dsDNAphage	228492	15	75.000	1.500
T16_S__k141_826360||full	0.987	0.087	0.987	dsDNAphage	201378	26	89.700	0.500
T88_S_k141_1192874||full	1.000	0.047	1.000	dsDNAphage	182151	24	81.500	0.400
T88_S_k141_877611||full_1	1.000	0.287	1.000	dsDNAphage	166969	10	74.500	0.500
T20_S__k141_116019||full	0.980	0.193	0.980	dsDNAphage	161339	24	91.200	0.000
T104_S__k141_460647||full	0.987	0.000	0.987	dsDNAphage	155919	9	41.700	2.600
T32_S__k141_353820||full	0.973	0.007	0.973	dsDNAphage	150994	2	40.400	7.000
T36_S__k141_1028942||full	1.000	0.360	1.000	dsDNAphage	147925	27	80.200	0.000
T68_S__k141_274053||full	0.873	0.093	0.873	dsDNAphage	142056	0	67.700	2.300
T16_D__k141_1313024||full	0.987	0.000	0.987	dsDNAphage	137424	1	27.000	1.400
T60_S__k141_832294||full_1	1.000	0.093	1.000	dsDNAphage	132235	5	79.400	0.500
T108_S__k141_389154||full	1.000	0.073	1.000	dsDNAphage	131764	27	80.600	0.600
T24_S__k141_538061||full	0.973	0.027	0.973	dsDNAphage	130259	3	27.900	2.800
T76_D__k141_72549||full	0.993	0.080	0.993	dsDNAphage	126310	12	59.900	2.200
T8_S__k141_866808||full	0.987	0.180	0.987	dsDNAphage	125990	15	88.200	0.000
T36_S__k141_272738||full	0.973	0.073	0.973	dsDNAphage	125743	17	78.600	0.800
T52_S_k141_423127||full	1.000	0.020	1.000	dsDNAphage	125152	7	60.600	1.600
T16_D__k141_642967||full	1.000	0.047	1.000	dsDNAphage	125124	11	54.500	3.000
T4_D_k141_678980||full	1.000	0.440	1.000	dsDNAphage	125075	8	84.800	0.000
T4_D_k141_609935||full	1.000	0.213	1.000	dsDNAphage	119771	8	73.300	0.600
T40_D__k141_272107||full	0.967	0.013	0.967	dsDNAphage	118133	1	17.300	1.900
T112_D__k141_547258||full	1.000	0.413	1.000	dsDNAphage	117053	9	86.800	0.000
T4_D_k141_985069||full	0.993	0.013	0.993	dsDNAphage	114242	7	55.900	0.000
T0_S__k141_11813||full	1.000	0.340	1.000	dsDNAphage	113428	19	94.300	0.000
T8_S__k141_1422581||full	1.000	0.060	1.000	dsDNAphage	111948	9	57.600	0.700
T52_S_k141_1046806||full	0.993	0.080	0.993	dsDNAphage	111616	8	57.700	0.600
T16_S__k141_167325||full	1.000	0.053	1.000	dsDNAphage	109832	2	64.400	3.700
T88_D__k141_282537||full	0.967	0.000	0.967	dsDNAphage	106627	7	35.500	4.300
T88_D__k141_156749||full	1.000	0.560	1.000	dsDNAphage	105575	8	72.000	0.800
T100_D__k141_534930||full	0.993	0.127	0.993	dsDNAphage	102951	6	64.300	0.000
T28_S__k141_1030450||full	1.000	0.373	1.000	dsDNAphage	102642	18	95.300	0.000
T16_D__k141_967276||full	0.987	0.107	0.987	dsDNAphage	102428	6	62.700	1.000
T40_D__k141_949105||full	1.000	0.033	1.000	dsDNAphage	101314	5	45.300	0.700
T80_S__k141_1150860||full	1.000	0.280	1.000	dsDNAphage	101009	21	92.900	0.000
T88_D__k141_501556||full	1.000	0.000	1.000	dsDNAphage	98076	8	31.800	2.700
T76_S__k141_195157||full	0.987	0.167	0.987	dsDNAphage	98029	8	84.700	0.900
T108_S__k141_674307||full	0.980	0.133	0.980	dsDNAphage	97568	12	74.000	0.000
T88_D__k141_228482||full	1.000	0.200	1.000	dsDNAphage	97266	6	78.400	0.000
T76_S__k141_154635||full	0.993	0.047	0.993	dsDNAphage	97044	8	79.100	3.600
T76_D__k141_673084||full	1.000	0.000	1.000	dsDNAphage	97026	3	62.200	4.400
T64_D__k141_109126||full	1.000	0.333	1.000	dsDNAphage	96625	4	84.600	0.000
T40_D__k141_891721||full	1.000	0.013	1.000	dsDNAphage	95288	4	48.500	0.000
T112_D__k141_372485||full	1.000	0.140	1.000	dsDNAphage	94692	5	45.300	0.000
T4_D_k141_481190||full	1.000	0.033	1.000	dsDNAphage	94650	6	66.100	1.800
T8_S__k141_951125||full	1.000	0.007	1.000	dsDNAphage	92773	3	48.200	5.000
T60_S__k141_401223||full	1.000	0.147	1.000	dsDNAphage	92009	6	73.000	0.000
T112_D__k141_552282||full	1.000	0.020	1.000	dsDNAphage	91023	3	58.600	0.000
T16_D__k141_279685||full	0.940	0.000	0.940	dsDNAphage	90496	3	50.000	7.600
T16_D__k141_1036091||full	1.000	0.553	1.000	dsDNAphage	88424	7	84.700	0.000
T104_S__k141_647633||full	1.000	0.200	1.000	dsDNAphage	88204	13	96.700	0.800
T16_S__k141_603151||full	0.993	0.033	0.993	dsDNAphage	87882	3	60.700	2.200
T40_D__k141_608898||full_1	1.000	0.213	1.000	dsDNAphage	86042	10	76.300	0.000
T28_S__k141_869142||full	1.000	0.220	1.000	dsDNAphage	85916	17	86.300	0.000
T64_D__k141_222056||full	1.000	0.380	1.000	dsDNAphage	85735	7	86.000	0.000
T64_D__k141_382682||full	0.993	0.107	0.993	dsDNAphage	85560	9	80.800	1.400
T8_S__k141_230500||full	0.993	0.320	0.993	dsDNAphage	84254	15	82.000	0.000
T76_D__k141_393872||full	0.987	0.160	0.987	dsDNAphage	83665	3	73.400	1.100
T100_D__k141_364043||full	0.980	0.053	0.980	dsDNAphage	82708	1	52.700	5.400
T60_S__k141_3757||full	1.000	0.287	1.000	dsDNAphage	82260	9	75.000	0.000
T76_D__k141_132042||full	1.000	0.027	1.000	dsDNAphage	82204	1	53.400	2.500
T88_D__k141_829809||full	0.967	0.080	0.967	dsDNAphage	82021	3	74.400	5.900
T76_S__k141_759260||full	1.000	0.100	1.000	dsDNAphage	81098	19	93.000	0.000
T92_S__k141_554949||full	1.000	0.240	1.000	dsDNAphage	80391	8	78.100	0.000
T16_D__k141_67527||full	0.987	0.133	0.987	dsDNAphage	79623	4	50.000	0.000
T52_S_k141_1145754||full	0.993	0.027	0.993	dsDNAphage	79085	1	50.400	5.200
T40_D__k141_598534||full_1	0.987	0.180	0.987	dsDNAphage	78641	8	69.300	1.300
T48_S__k141_13147||full	0.993	0.253	0.993	dsDNAphage	78471	19	94.300	0.000
T12_S__k141_1093876||full	0.947	0.000	0.947	dsDNAphage	78135	3	46.600	13.700
T52_D__k141_649500||full	1.000	0.107	1.000	dsDNAphage	77987	5	79.300	2.200
T16_D__k141_659129||full	0.987	0.040	0.987	dsDNAphage	77986	8	70.700	1.300
T28_S__k141_839072||full	1.000	0.127	1.000	dsDNAphage	77855	5	63.600	0.900
T88_D__k141_15096||full	1.000	0.120	1.000	dsDNAphage	77337	7	75.000	1.200
T40_D__k141_1171697||full	0.993	0.247	0.993	dsDNAphage	77255	5	73.700	1.300
T20_S__k141_904483||full	1.000	0.027	1.000	dsDNAphage	77187	4	50.500	2.000
T44_S__k141_1149613||full	1.000	0.067	1.000	dsDNAphage	77003	2	50.800	1.600
T4_D_k141_1167017||full	1.000	0.047	1.000	dsDNAphage	76928	3	42.400	0.000
T112_S__k141_178651||full	0.973	0.033	0.973	dsDNAphage	76754	9	69.500	3.400
T52_S_k141_348769||full	0.987	0.000	0.987	dsDNAphage	75587	3	51.300	11.500
T4_D_k141_706820||full	1.000	0.420	1.000	dsDNAphage	75358	7	88.700	0.000
T84_S__k141_657148||full	0.973	0.193	0.973	dsDNAphage	74932	8	87.300	1.400
T104_S__k141_408249||full	0.987	0.187	0.987	dsDNAphage	74836	5	82.100	1.300
T16_S__k141_687830||full	1.000	0.567	1.000	dsDNAphage	74714	9	97.100	0.000
T64_D__k141_73047||full	0.980	0.040	0.980	dsDNAphage	74683	2	46.700	1.300
T20_S__k141_1127031||full	0.840	0.027	0.840	dsDNAphage	74510	0	65.000	2.500
T0_S__k141_22928||full	1.000	0.207	1.000	dsDNAphage	72803	16	89.200	0.000
T104_S__k141_54246||full	1.000	0.000	1.000	dsDNAphage	72704	3	56.300	5.600
T92_S__k141_1040476||full	0.993	0.267	0.993	dsDNAphage	71353	12	86.700	0.000
T88_S_k141_636276||full	0.993	0.287	0.993	dsDNAphage	70731	18	93.500	0.000
T52_D__k141_110639||full	0.953	0.267	0.953	dsDNAphage	69971	0	85.300	1.100
T4_D_k141_528341||full	1.000	0.313	1.000	dsDNAphage	69949	6	66.700	0.000
T4_D_k141_1043421||full	1.000	0.380	1.000	dsDNAphage	69937	16	97.200	0.000
T40_D__k141_424371||full_1	0.900	0.107	0.900	dsDNAphage	69850	0	78.100	2.100
T100_D__k141_636677||full	1.000	0.327	1.000	dsDNAphage	69242	8	88.900	0.000
T40_D__k141_779667||full	1.000	0.607	1.000	dsDNAphage	69160	6	61.800	0.000
T52_D__k141_487954||full	1.000	0.447	1.000	dsDNAphage	69009	6	80.600	0.000
T16_D__k141_366952||full	1.000	0.647	1.000	dsDNAphage	69006	14	92.000	0.000
T4_S__k141_1287496||full	1.000	0.073	1.000	dsDNAphage	68976	3	61.300	0.000
T40_D__k141_1022526||full	0.993	0.000	0.993	dsDNAphage	68867	4	56.700	6.700
T88_D__k141_22393||full	1.000	0.453	1.000	dsDNAphage	68513	7	91.200	0.000
T16_D__k141_72869||full	1.000	0.040	1.000	dsDNAphage	68303	2	44.400	0.000
T112_D__k141_9059||full	0.960	0.000	0.960	dsDNAphage	68026	1	36.700	2.600
T84_S__k141_101948||full	1.000	0.247	1.000	dsDNAphage	67925	3	68.000	1.000
T16_D__k141_16001||full	1.000	0.107	1.000	dsDNAphage	67881	6	58.700	0.000
T88_S_k141_1242316||full	0.993	0.460	0.993	dsDNAphage	67772	7	82.100	0.000
T40_S__k141_992397||full	1.000	0.393	1.000	dsDNAphage	67575	2	85.700	0.000
T92_S__k141_699973||full	1.000	0.013	1.000	dsDNAphage	67336	5	66.700	3.500
T76_S__k141_432020||full	1.000	0.400	1.000	dsDNAphage	66961	14	89.500	0.000
T76_D__k141_1015732||full	1.000	0.347	1.000	dsDNAphage	66872	7	86.600	0.000
T16_D__k141_1220673||full	0.993	0.000	0.993	dsDNAphage	66626	2	36.700	2.500
T20_S__k141_323236||full	1.000	0.500	1.000	dsDNAphage	66320	4	73.200	0.000
T88_D__k141_580766||full	0.993	0.320	0.993	dsDNAphage	66285	3	74.000	1.300
T0_S__k141_432527||full	1.000	0.047	1.000	dsDNAphage	65911	14	87.200	0.000
T36_S__k141_521901||full	0.860	0.087	0.860	dsDNAphage	65779	0	65.300	1.000
T68_S__k141_399358||full	1.000	0.413	1.000	dsDNAphage	65351	2	89.600	0.000
T112_S__k141_357738||full	1.000	0.280	1.000	dsDNAphage	65309	1	83.700	0.000
T52_S_k141_911134||full	1.000	0.367	1.000	dsDNAphage	65105	5	85.500	0.000
T40_D__k141_983455||full	1.000	0.007	1.000	dsDNAphage	65104	1	44.900	4.400
T20_S__k141_748045||full	1.000	0.413	1.000	dsDNAphage	65101	13	85.000	0.000
T88_D__k141_634068||full	0.960	0.073	0.960	dsDNAphage	64729	0	42.900	1.900
T64_S__k141_250600||full	1.000	0.347	1.000	dsDNAphage	64716	2	89.000	0.000
T100_D__k141_520229||full	1.000	0.347	1.000	dsDNAphage	64566	9	88.300	0.000
T4_D_k141_1247224||full	0.940	0.033	0.940	dsDNAphage	64350	0	44.700	0.000
T112_D__k141_82775||full	1.000	0.040	1.000	dsDNAphage	64306	2	24.400	0.000
T52_D__k141_754077||full	0.993	0.020	0.993	dsDNAphage	64240	4	66.300	2.200
T112_D__k141_392506||full	1.000	0.400	1.000	dsDNAphage	64216	3	87.400	0.000
T4_D_k141_345935||full	0.980	0.000	0.980	dsDNAphage	64196	1	37.500	2.800
T24_S__k141_1085879||full	1.000	0.380	1.000	dsDNAphage	64111	19	84.000	0.000
T88_D__k141_887479||full	1.000	0.047	1.000	dsDNAphage	64058	1	43.300	0.000
T88_D__k141_645217||full	0.967	0.180	0.967	dsDNAphage	63961	8	89.200	1.400
T88_D__k141_865817||full	1.000	0.340	1.000	dsDNAphage	63754	3	90.200	0.000
T100_D__k141_239299||full	0.853	0.027	0.853	dsDNAphage	63691	0	53.800	5.400
T112_S__k141_30760||full	0.993	0.227	0.993	dsDNAphage	63634	13	84.700	0.000
T88_D__k141_849138||full	1.000	0.453	1.000	dsDNAphage	63581	4	92.400	0.000
T4_S__k141_433258||full	0.787	0.027	0.787	dsDNAphage	63436	0	64.700	2.900
T88_D__k141_115454||full	1.000	0.013	1.000	dsDNAphage	63369	4	58.800	1.200
T40_D__k141_333402||full	1.000	0.427	1.000	dsDNAphage	63245	11	77.300	0.000
T4_S__k141_627613||full	1.000	0.120	1.000	dsDNAphage	63073	1	90.500	0.000
T88_D__k141_627056||full	0.920	0.120	0.920	dsDNAphage	62958	0	46.700	0.000
T16_D__k141_105758||full	1.000	0.287	1.000	dsDNAphage	62915	3	63.200	0.000
T88_D__k141_565002||full	1.000	0.093	1.000	dsDNAphage	62882	3	67.700	0.000
T52_S_k141_279005||full	0.713	0.033	0.713	dsDNAphage	62811	0	71.400	4.400
T40_S__k141_845787||full	1.000	0.447	1.000	dsDNAphage	62581	13	93.300	0.000
T40_D__k141_1045902||full	1.000	0.433	1.000	dsDNAphage	62245	2	88.500	0.000
T48_S__k141_621235||full	1.000	0.340	1.000	dsDNAphage	61795	6	54.500	0.000
T76_S__k141_426764||full	1.000	0.360	1.000	dsDNAphage	61736	6	92.400	0.000
T92_S__k141_621633||full	1.000	0.007	1.000	dsDNAphage	61704	1	34.400	3.100
T40_D__k141_94744||full	1.000	0.080	1.000	dsDNAphage	61580	3	45.700	0.000
T16_S__k141_474614||0_partial_1	0.993	0.087	0.993	dsDNAphage	61526	6	50.700	1.300
T112_D__k141_795910||full	1.000	0.520	1.000	dsDNAphage	61517	10	86.800	0.000
T16_D__k141_17448||full	0.993	0.040	0.993	dsDNAphage	61271	3	66.000	2.000
